A-ZB	1	1	1	AYDINLIK
A-ZB	1	2	2	Bunun, Manhattan projesinden sonra, yeryüzünün en gizli araştırmalarından biri olduğunu anlamışsınızdır sanırım.
A-ZB	1	2	3	Belki ondan çok daha önemli ve gizli.
A-ZB	1	2	4	Gerçi siz tüm yaşamınızı bu tür olayları inceleme ve araştırmayla geçirmiş olmalısınız ama…
A-ZB	1	2	5	Hayır, bırakalım bütün bunları.
A-ZB	1	2	6	Militarist yöntemlerle çalışan, her olanakta gücünü açığa vuran bir grup değiliz biz.
A-ZB	1	2	7	Gerçeği bütün dünyaya açıklamaktan kaçınacağımı mı sanıyorsunuz?
A-ZB	1	3	8	Ama bu gerçek, toptan ve yıkıcı bir savaşı önleyebilir.
A-ZB	1	3	9	Herkes bilir ki, böyle bir savaş, uygarlığımızın kesin bir biçimde sonu olacak demektir.
A-ZB	1	3	10	Bir tarihçi olarak bizi anlayacağınızı; anlayışla karşılayacağınızı umuyoruz.
A-ZB	1	3	11	Machiavelli, bir tür soğukkanlı gerçekçi tutumun simgesi sayılabilir.
A-ZB	1	3	12	Lütfen onun sadece aydınlık kafalı bir yurtseverden başka bir şey olmadığını söylemeyin bana.
A-ZB	1	3	13	“Hükümdar” ve “Nutuk” adlı yapıtlarını okumuş bulunuyorum.
A-ZB	1	4	14	Sanırım, uzayda bulunmayı hakkedecek denli fizik ve matematik bilmem, benim için olduğu kadar sizin için de bir sürpriz olmamıştır.
A-ZB	1	4	15	Sakın beni kültürden nasibini almaya olanak bulamamış, basit bir teknisyen gibi görmeyin.
A-ZB	1	4	16	Hayır, bayım.
A-ZB	1	4	17	Dünyanın dört bir köşesini dolaştım ve meyhanelerinde harcadığım zaman kadarını, Avrupa’nın ünlü müze ve galerilerinde de harcadım.
A-ZB	1	5	18	Ay yolculuğumuz sırasında da, bu niteliğimle arkadaşlarımı belki biraz tedirgin etmiş olabilirim.
A-ZB	1	5	19	Kuşkusuz arkadaşlarım, birer robot değillerdi ama öğrenmeleri gereken pek çok şey vardı.
A-ZB	1	5	20	İşin doğrusunu isterseniz benim de öyle.
A-ZB	1	5	21	Evrendeki bütün bilgileri bir tek beyinde toplayabilmenin uzak bir düş olduğunu söylemeliyim.
A-ZB	1	5	22	Sanırım, sefer arkadaşlarım, aklımın hep Londra’daki Ulusal Galeride bulunan “Kayaların Bakiresi” adlı tabloya takılı bulunmasını endişeyle karşılıyorlardı.
A-ZB	1	5	23	Çünkü yörünge işlevleri ve hesaplarından ben sorumluydum.
A-ZB	1	5	24	Belki yolculuk sırasında, astrofizik bilgi ve becerilerimi iyi uygulayamadım.
A-ZB	1	5	25	Bu ise kaptan Baird ile aramızda küçük bir sürtüşmenin başlangıcı gibi oldu.
A-ZB	1	6	26	Yoo, hayır.
A-ZB	1	6	27	Kavga filan etmedik.
A-ZB	1	6	28	Benjamin Franklin uzay gemisi dünya yörüngesindeki istasyondan ayrılıp da aya doğru roketlerini ateşlediği zaman bizler, sımsıkı birbirimize kenetlenmiş, aynı bilinmezlik ve tehlike karşısında bulunan insanların duygularını paylaşıyorduk.
A-ZB	1	7	29	Belki yüz yüze geldiğimiz gerilim, umduğumuz, beklediğimizden biraz fazlaydı ve bu gerilimi yumuşatmanın yollarını bilmiyorduk.
A-ZB	1	7	30	Anımsayacağınız gibi, şimdi artık tarihe geçmiş bulunan bu ürpertici yolculukta üç kişiydik.
